question,answer,correct_feedback,wrong_feedback,hint
"教科系在淡大為哪個學院?(請回答兩字)","教育","答對了","好像不是耶","答案有一部份藏在題目裡面喔"
"淡江大學英文簡稱是什麼?(英文大寫字母回答)","TKU","沒錯!","錯了喔","由三個字母組成"
"教育科技學系只著重在科技嗎?(填是或否)","否","你是天才!","回答錯誤","注意完整的系名喔"
"教育科技學系只著重在教育嗎?(填是或否)","否","太聰明了吧","糟糕!答案不對","注意題目有個"只"字"
"淡江大學的吉祥物是什麼動物?","海豚","真棒!!","請動腦思考一下","喜歡在海裡面跳躍的動物"
"教育科技學系在主要甚麼館上課呢(請回答兩字)?","文館","難得一見的天才","這麼簡單都不會","名稱有可能誤導你喔"
"淡江大學隸屬於哪個區呢?(請回答三個字)","淡水區","正確的回答","差點就答對了","想想看最北的捷運站叫什麼"
